model,split,MAE,RMSE,MedAE
RidgeCV,val,7505.304477645944,10910.075496929328,1127.7375
RidgeCV,test,10059.436390447923,12785.424148623857,16443.94478333333
LassoCV,val,316.1066381187902,1218.541301219711,12.084623982425235
LassoCV,test,133.22910041103262,488.45674845816706,7.642222669762111
HGBR,val,305.2319616415146,1192.6143676453758,11.612408645099238
HGBR,test,127.95166554759761,467.01464993498837,7.189610436526562
